ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Caves,Surface_des_caves,Grenier,Surface_du_grenier,Véranda,Garage,Nombre_de_Garages,Surface_du_garage,Nombre_de_salles_de_bain,Surface_de_lades_salles_de_bain,Type_de_chauffage,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Jardin,Surface_totale_du_terrain,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Permis_durbanisation_accordé,Type_de_zone_inondable,Zone_inondable_délimitée,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Meublé,Nombre_de_façades,Terrasse_aménagée,Équipement_de_la_cuisine,Nombre_de_douches,Nombre_de_toilettes,Raccordé_à_leau_courante,Permis_de_bâtir_obtenu,Surface_constructible,Disponibilité_du_bien,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_du_bureau,Salle_à_manger,Nombre_de_place_de_parking_intérieur,Panneaux_solaires,Feu_ouvert,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Surface_du_jardin,Orientation_du_jardin,Surface_de_la_terrasse,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Piscine_extérieure,Bien_actuellement_loué,Dressing,Buanderie,Local_vélo,Chauffage_au_sol,Étage_de_lappartement,Surface_du_séjour,Raccordé_au_gaz_de_ville,Type_de_cuisine,Raccordé_aux_égouts,Pompe_à_chaleur,Surface_de_la_véranda,Attestation__Installation_électrique__Validité,Surface_salle_à_manger,Surface_de_la_cuisine,Alarme_antieffraction,Orientation_de_la_terrasse,Le_bien_fait_lobjet_dun_droit_de_préemption,Barbecue
https://immovlan.be/fr/detail/appartement/a-vendre/6640/vaux-sur-sure/vbc62597,VBC62597,Appartement à vendre,280000,Rue de la Scierie 1 8,6640 Vaux-sur-Sûre,Normal,2018,3,95 m²,,,,,,,,,1,,Mazout,,Oui,,Ouest,Non,,121 kWh/m²/an,,20180703500984,03/07/2028,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,Super équipée,1,1,Oui,Oui,,,,,,,,,,,,,,2,2,,,18 m²,,,,,,,,,2,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6640/vaux-sur-sure/vbc30756,VBC30756,Maison à vendre,210000,Rue de la Belle Eau 14,6640 Vaux-sur-Sûre,,,3,,,,Oui,,,Oui,1,,1,,Mazout,,Non,,Sud,Oui,1489 m²,414 kWh/m²/an,,20170330005976,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,Semi-équipée,,1,Oui,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6640/vaux-sur-sure/vbc29333,VBC29333,Maison à vendre,270000,Chaussée de Neufchâteau 13,6640 Vaux-sur-Sûre,Normal,1976,2,,,,Oui,,,Oui,1,,1,,Mazout,,Non,,Sud,Oui,2287 m²,685 kWh/m²/an,,20241205015063,,,pas d'application,Non,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,Super équipée,,1,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6640/sibret/vbc19054,VBC19054,Appartement à vendre,260000,Chaussée de Bastogne 75 A1,6640 Sibret,Nouveau,2023,2,85 m²,,,,,,,,,,,Gaz,,Non,,Sud,Oui,,85 kWh/m²/an,,20221206501946,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,Super équipée,1,1,Oui,Oui,,,,,,,,,,,,,,3,1,110 m²,,6 m²,,,,,,,,,0,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6640/vaux-sur-sure/vbc01191,VBC01191,Appartement à vendre,250000,,6640 Vaux-sur-Sûre,Nouveau,2019,2,,,,,,,,,,1,,Gaz,,Non,,Nord-ouest,Non,,95 kWh/m²/an,,20190108501612,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,Super équipée,,1,Oui,Oui,,,,,,,,,,,,,,2,2,,,8 m²,,,,,,,,,1,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/6640/vaux-sur-sure/vbb93410,VBB93410,Villa à vendre,220000,Chenogne 1,6640 Vaux-sur-Sûre,,1977,3,,,,,,,Oui,1,,1,,Mazout,,Non,,Ouest,Non,1094 m²,334 kWh/m²/an,,20241022017787,,,"oui, attestation non conforme",,Information non communiquée,Information non communiquée,,Non,4,Non,Semi-équipée,,1,Oui,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6640/sibret/vbb19292,VBB19292,Maison à vendre,329900,Rue de Sugy 17 B,6640 Sibret,Nouveau,2024,3,120 m²,Non,,Non,,Non,,,,1,,Gaz,,Non,,Sud,Oui,2292 m²,,,,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,3,Oui,,,2,Oui,Oui,,,,,,,,,Non,,,,,1,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6640/sibret/vbb18889,VBB18889,Maison à vendre,329900,Rue de Sugy 17 A,6640 Sibret,Nouveau,2024,3,120 m²,,,,,,,,,1,,Gaz,,Non,,Sud,Oui,2715 m²,,,,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,3,Oui,,,2,Oui,Oui,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/6640/vaux-sur-sure/vbb92234,VBB92234,Villa à vendre,400000,Place du Marché 13,6640 Vaux-sur-Sûre,Normal,1996,5,,Non,,Non,,Non,Oui,1,,1,,Mazout,,Non,,Ouest,Non,1052 m²,194 kWh/m²/an,,20240926022264,,,"oui, attestation non conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Non,Super équipée,,2,Oui,Oui,,,,,,,,,Non,,,,,1,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6640/sibret/vbc69630,VBC69630,Maison à vendre,1200000,Rue de la roye 21,6640 Sibret,,1992,8,482 m²,Oui,128 m²,Oui,22 m²,Oui,Oui,1,,3,,Mazout,Double vitrage,Non,Oui,,Oui,3810 m²,91 kWh/m²/an,52416 kWh/an,,09/09/2031,25,"oui, attestation conforme",Non,Information non communiquée,Information non communiquée,,Non,4,Oui,Super équipée,1,3,Oui,Oui,,A l’acte,28 m²,17 m²,16 m²,15 m²,41 m²,47 m²,Oui,2,Oui,Oui,30 m,1,7,3440 m²,Nord-ouest,89 m²,60 m,30 m,Non,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6640/sibret/vbc69631,VBC69631,Maison à vendre,1200000,Rue de la roye 21,6640 Sibret,Normal,1992,8,482 m²,Oui,128 m²,Oui,22 m²,Oui,Oui,1,,3,,Mazout,Double vitrage,Non,Oui,,Oui,3810 m²,91 kWh/m²/an,52416 kWh/an,,09/09/2031,25,"oui, attestation conforme",Non,Information non communiquée,Information non communiquée,,Non,4,Oui,Super équipée,1,3,Oui,Oui,,A l’acte,28 m²,17 m²,16 m²,15 m²,41 m²,47 m²,Oui,2,Oui,Oui,30 m,1,7,3440 m²,Nord-ouest,89 m²,60 m,30 m,Non,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6640/sibret/vbc19054,VBC19054,Appartement à vendre,260000,Chaussée de Bastogne 75 A1,6640 Sibret,Nouveau,2023,2,85 m²,,,,,,,,,,,Gaz,,Non,,Sud,Oui,,85 kWh/m²/an,,20221206501946,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,Super équipée,1,1,Oui,Oui,,,,,,,,,,,,,,3,1,110 m²,,6 m²,,,,,,,,,0,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6640/sibret/vbb19292,VBB19292,Maison à vendre,329900,Rue de Sugy 17 B,6640 Sibret,Nouveau,2024,3,120 m²,Non,,Non,,Non,,,,1,,Gaz,,Non,,Sud,Oui,2292 m²,,,,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,3,Oui,,,2,Oui,Oui,,,,,,,,,Non,,,,,1,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6640/sibret/vbb18889,VBB18889,Maison à vendre,329900,Rue de Sugy 17 A,6640 Sibret,Nouveau,2024,3,120 m²,,,,,,,,,1,,Gaz,,Non,,Sud,Oui,2715 m²,,,,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,3,Oui,,,2,Oui,Oui,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/6640/vaux-sur-sure/vbc83130,VBC83130,Villa à vendre,500000,Chaussée de Saint-Hubert 274,6640 Vaux-sur-Sûre,Normal,1980,4,,Non,,Oui,,Non,Oui,1,,2,,Mazout,,Non,,Nord,Oui,,157 kWh/m²/an,,20250414031308,14/04/2035,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,,,2,Oui,,,,,,,,,,Non,,,,,1,,,,,,,Oui,Non,Non,Non,Non,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6640/vaux-sur-sure/vbc67384,VBC67384,Appartement à vendre,229900,Rue de Bastogne 25,6640 Vaux-sur-Sûre,,2024,2,90 m²,,,,,,,,,1,,,,Oui,,,Oui,,,,,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,,Oui,,,1,,,,A l’acte,,,,,,,,,,,,2,,,,6 m²,,,Non,,,,,Oui,1,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6640/vaux-sur-sure/vbc67254,VBC67254,Maison à vendre,350000,Grand-Route 86,6640 Vaux-sur-Sûre,Normal,1999,3,149 m²,,,,,,Oui,1,,1,,Mazout,,Non,,Sud-est,Oui,1500 m²,246 kWh/m²/an,,20231123016203,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,Super équipée,,2,Oui,Oui,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6640/vaux-sur-sure/vbc65994,VBC65994,Maison à vendre,495000,Cobreville 44,6640 Vaux-sur-Sûre,Normal,,5,355 m²,Non,,Non,,Non,Oui,2,,2,,Mazout,,Non,,Est,Oui,6009 m²,128 kWh/m²/an,,20250416013531,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,Super équipée,,4,,,,,,,,,,,Non,,,,,1,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6640/vaux-sur-sure/vbc62597,VBC62597,Appartement à vendre,280000,Rue de la Scierie 1 8,6640 Vaux-sur-Sûre,Normal,2018,3,95 m²,,,,,,,,,1,,Mazout,,Oui,,Ouest,Non,,121 kWh/m²/an,,20180703500984,03/07/2028,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,Super équipée,1,1,Oui,Oui,,,,,,,,,,,,,,2,2,,,18 m²,,,,,,,,,2,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6640/vaux-sur-sure/vbc30756,VBC30756,Maison à vendre,210000,Rue de la Belle Eau 14,6640 Vaux-sur-Sûre,,,3,,,,Oui,,,Oui,1,,1,,Mazout,,Non,,Sud,Oui,1489 m²,414 kWh/m²/an,,20170330005976,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,Semi-équipée,,1,Oui,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6640/vaux-sur-sure/vbc29333,VBC29333,Maison à vendre,270000,Chaussée de Neufchâteau 13,6640 Vaux-sur-Sûre,Normal,1976,2,,,,Oui,,,Oui,1,,1,,Mazout,,Non,,Sud,Oui,2287 m²,685 kWh/m²/an,,20241205015063,,,pas d'application,Non,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,Super équipée,,1,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6640/vaux-sur-sure/vbc01191,VBC01191,Appartement à vendre,250000,,6640 Vaux-sur-Sûre,Nouveau,2019,2,,,,,,,,,,1,,Gaz,,Non,,Nord-ouest,Non,,95 kWh/m²/an,,20190108501612,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,Super équipée,,1,Oui,Oui,,,,,,,,,,,,,,2,2,,,8 m²,,,,,,,,,1,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/6640/vaux-sur-sure/vbb93410,VBB93410,Villa à vendre,220000,Chenogne 1,6640 Vaux-sur-Sûre,,1977,3,,,,,,,Oui,1,,1,,Mazout,,Non,,Ouest,Non,1094 m²,334 kWh/m²/an,,20241022017787,,,"oui, attestation non conforme",,Information non communiquée,Information non communiquée,,Non,4,Non,Semi-équipée,,1,Oui,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/6640/vaux-sur-sure/vbb92234,VBB92234,Villa à vendre,400000,Place du Marché 13,6640 Vaux-sur-Sûre,Normal,1996,5,,Non,,Non,,Non,Oui,1,,1,,Mazout,,Non,,Ouest,Non,1052 m²,194 kWh/m²/an,,20240926022264,,,"oui, attestation non conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Non,Super équipée,,2,Oui,Oui,,,,,,,,,Non,,,,,1,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6640/sibret/vbc69630,VBC69630,Maison à vendre,1200000,Rue de la roye 21,6640 Sibret,,1992,8,482 m²,Oui,128 m²,Oui,22 m²,Oui,Oui,1,,3,,Mazout,Double vitrage,Non,Oui,,Oui,3810 m²,91 kWh/m²/an,52416 kWh/an,,09/09/2031,25,"oui, attestation conforme",Non,Information non communiquée,Information non communiquée,,Non,4,Oui,Super équipée,1,3,Oui,Oui,,A l’acte,28 m²,17 m²,16 m²,15 m²,41 m²,47 m²,Oui,2,Oui,Oui,30 m,1,7,3440 m²,Nord-ouest,89 m²,60 m,30 m,Non,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/6640/vaux-sur-sure/vbc83130,VBC83130,Villa à vendre,500000,Chaussée de Saint-Hubert 274,6640 Vaux-sur-Sûre,Normal,1980,4,,Non,,Oui,,Non,Oui,1,,2,,Mazout,,Non,,Nord,Oui,,157 kWh/m²/an,,20250414031308,14/04/2035,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,,,2,Oui,,,,,,,,,,Non,,,,,1,,,,,,,Oui,Non,Non,Non,Non,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6640/sibret/vbc69631,VBC69631,Maison à vendre,1200000,Rue de la roye 21,6640 Sibret,Normal,1992,8,482 m²,Oui,128 m²,Oui,22 m²,Oui,Oui,1,,3,,Mazout,Double vitrage,Non,Oui,,Oui,3810 m²,91 kWh/m²/an,52416 kWh/an,,09/09/2031,25,"oui, attestation conforme",Non,Information non communiquée,Information non communiquée,,Non,4,Oui,Super équipée,1,3,Oui,Oui,,A l’acte,28 m²,17 m²,16 m²,15 m²,41 m²,47 m²,Oui,2,Oui,Oui,30 m,1,7,3440 m²,Nord-ouest,89 m²,60 m,30 m,Non,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6640/vaux-sur-sure/vbc67384,VBC67384,Appartement à vendre,229900,Rue de Bastogne 25,6640 Vaux-sur-Sûre,,2024,2,90 m²,,,,,,,,,1,,,,Oui,,,Oui,,,,,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,,Oui,,,1,,,,A l’acte,,,,,,,,,,,,2,,,,6 m²,,,Non,,,,,Oui,1,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6640/vaux-sur-sure/vbc67254,VBC67254,Maison à vendre,350000,Grand-Route 86,6640 Vaux-sur-Sûre,Normal,1999,3,149 m²,,,,,,Oui,1,,1,,Mazout,,Non,,Sud-est,Oui,1500 m²,246 kWh/m²/an,,20231123016203,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,Super équipée,,2,Oui,Oui,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6640/vaux-sur-sure/vbc65994,VBC65994,Maison à vendre,495000,Cobreville 44,6640 Vaux-sur-Sûre,Normal,,5,355 m²,Non,,Non,,Non,Oui,2,,2,,Mazout,,Non,,Est,Oui,6009 m²,128 kWh/m²/an,,20250416013531,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,Super équipée,,4,,,,,,,,,,,Non,,,,,1,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6640/vaux-sur-sure/vbc62597,VBC62597,Appartement à vendre,280000,Rue de la Scierie 1 8,6640 Vaux-sur-Sûre,Normal,2018,3,95 m²,,,,,,,,,1,,Mazout,,Oui,,Ouest,Non,,121 kWh/m²/an,,20180703500984,03/07/2028,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,Super équipée,1,1,Oui,Oui,,,,,,,,,,,,,,2,2,,,18 m²,,,,,,,,,2,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6640/vaux-sur-sure/vbc30756,VBC30756,Maison à vendre,210000,Rue de la Belle Eau 14,6640 Vaux-sur-Sûre,,,3,,,,Oui,,,Oui,1,,1,,Mazout,,Non,,Sud,Oui,1489 m²,414 kWh/m²/an,,20170330005976,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,Semi-équipée,,1,Oui,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6640/vaux-sur-sure/vbc29333,VBC29333,Maison à vendre,270000,Chaussée de Neufchâteau 13,6640 Vaux-sur-Sûre,Normal,1976,2,,,,Oui,,,Oui,1,,1,,Mazout,,Non,,Sud,Oui,2287 m²,685 kWh/m²/an,,20241205015063,,,pas d'application,Non,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,Super équipée,,1,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6640/sibret/vbc19054,VBC19054,Appartement à vendre,260000,Chaussée de Bastogne 75 A1,6640 Sibret,Nouveau,2023,2,85 m²,,,,,,,,,,,Gaz,,Non,,Sud,Oui,,85 kWh/m²/an,,20221206501946,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,Super équipée,1,1,Oui,Oui,,,,,,,,,,,,,,3,1,110 m²,,6 m²,,,,,,,,,0,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6640/vaux-sur-sure/vbc01191,VBC01191,Appartement à vendre,250000,,6640 Vaux-sur-Sûre,Nouveau,2019,2,,,,,,,,,,1,,Gaz,,Non,,Nord-ouest,Non,,95 kWh/m²/an,,20190108501612,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,Super équipée,,1,Oui,Oui,,,,,,,,,,,,,,2,2,,,8 m²,,,,,,,,,1,,,,,,,,,,,,,
